,0
0,2
1,5
2,3
3,3
4,12
5,10
6,12
7,12
8,12
9,14
10,3
11,12
12,8
13,11
14,10
15,3
16,10
17,6
18,2
19,12
20,11
21,6
22,14
23,2
24,3
25,12
26,11
27,5
28,14
29,6
30,2
31,10
32,2
33,12
34,8
35,14
36,12
37,12
38,2
39,12
40,8
41,2
42,2
43,2
44,6
45,11
46,2
47,3
48,2
49,14
50,2
51,14
52,10
53,2
54,6
55,10
56,10
57,5
58,14
59,3
60,2
61,12
62,12
63,2
64,3
65,14
66,12
67,3
68,14
69,12
70,14
71,8
72,6
73,2
74,11
75,11
76,10
77,2
78,5
79,11
80,2
81,12
82,10
83,3
84,2
85,11
86,2
87,6
88,14
89,12
90,10
91,14
92,6
93,12
94,12
95,5
96,12
97,11
98,12
99,14
100,5
101,6
102,12
103,11
104,5
105,14
106,11
107,6
108,3
109,10
110,5
111,6
112,10
113,2
114,5
115,14
116,11
117,11
118,6
119,3
120,14
121,12
122,14
123,14
124,6
125,2
126,2
127,2
128,12
129,2
130,10
131,11
132,10
133,6
134,6
135,5
136,3
137,8
138,11
139,14
140,11
141,12
142,3
143,14
144,12
145,12
146,14
147,14
148,12
149,12
150,10
151,2
152,6
153,2
154,6
155,11
156,14
157,14
158,8
159,12
160,10
161,10
162,2
163,8
164,12
165,10
166,6
167,3
168,5
169,2
170,3
171,2
172,5
173,12
174,10
175,12
176,11
177,14
178,11
179,14
180,6
181,6
182,12
183,10
184,10
185,6
186,11
187,6
188,5
189,2
190,14
191,2
192,3
193,12
194,3
195,6
196,2
197,3
198,8
199,14
200,11
201,6
202,3
203,3
204,2
205,14
206,12
207,12
208,12
209,12
210,2
211,10
212,10
213,12
214,8
215,8
216,2
217,10
218,2
219,6
220,6
221,12
222,10
223,6
224,6
225,6
226,14
227,6
228,14
229,12
230,5
231,12
232,8
233,2
234,11
235,2
236,2
237,3
238,10
239,12
240,14
241,14
242,8
243,6
244,2
245,12
246,10
247,6
248,2
249,6
250,12
251,2
252,10
253,2
254,6
255,12
256,14
257,14
258,14
259,10
260,3
261,12
262,2
263,6
264,14
265,6
266,11
267,12
268,3
269,3
270,8
271,6
272,5
273,14
274,10
275,11
276,12
277,12
278,5
279,12
280,11
281,14
282,5
283,12
284,10
285,8
286,6
287,12
288,10
289,8
290,11
291,12
292,11
293,6
294,3
295,14
296,2
297,8
298,11
299,14
300,12
301,6
302,2
303,3
304,12
